Label,Count
Picture Window,106310
Coral Reef,106276
Pagoda,106081
Black Hair,106068
Ivy,105988
Fishing,105691
Snake,105091
Model T,105000
Maple,104862
Runway,104632
Buggy,104405
Tin,104208
Halloween,103959
Bookstore,103916
Senior Citizen,103759
Trailer Truck,103362
Teacher,103141
Brass Section,102853
Pot,102662
Police Car,102548
Spring Break,102458
Cloak,102364
Window Display,101883
Duel,101780
Bull,101638
Tropical,101463
Amaranthaceae,100572
Stallion,99654
Tar,99510
Dj,99311
Power Lines,99241
Amaryllidaceae,99042
Torso,98842
Letter,98800
Kindergarten,98773
Destroyer,98488
Loft,97862
Lawn Mower,97380
Fireworks,97297
Amphibian,97156
Boxing,97075
Glacier,96984
Ice Hockey,96967
Gray,96956
Gas Pump,96780
Moving Van,96489
Soup Bowl,96244
Mushroom,96144
Paddle,96131
Cherry Blossom,96034
Anthus,95603
Handbag,95485
Window Shade,94823
Mosaic,94497
Kite Bird,94419
Elevator,94405
Rotor,94184
Obelisk,93776
Tank,93502
Grand Theft Auto,93239
Barbie,93172
Garage,93117
Awning,92997
Bra,92879
Car Wash,92851
Cardboard,92844
Pasta,92774
Agaric,92550
Clock,92457
Comics,92440
Vulture,92208
Plush,92131
Eating,92123
Dorm Room,92042
Island,91511
Doctor,91310
Spring,91201
Diaper,91186
Lighthouse,90986
Fireplace,90949
Steam Engine,90911
Projection Screen,90847
Aphid,90732
Limestone,90688
Seagull,90649
Football Helmet,90642
Jogging,90366
License Plate,89654
Buddha,89359
Jersey,89026
Nut,88524
Circus,87684
Culinary,87178
Manufacturing,87082
Sumo,86951
Sparrow,86929
Can,86386
Kitten,86237
Tree Stump,85944
Carton,85770
Suspension Bridge,85659
Beer Bottle,85585
Saucer,85056
Electric Transmission Tower,85013
Drinking,84963
Horn,84923
Brewery,84807
Antelope,84676
Ring,84639
Chocolate,84391
Accipiter,84390
Supermarket,84144
Volcano,83904
Bee Eater,83698
Desert,83640
Mascot,83532
Warehouse,83398
Colt Horse,83070
Deer,83016
Tennis Court,82846
Digital Camera,82531
Lager,81298
Electronic Chip,81056
Veins,80979
Streetcar,80850
Tram,80850
Trolley,80850
Spoon,80354
Hot Dog,80089
Sneaker,79871
Angler,79838
Mirror,79732
Silver,79715
Guard Rail,79682
Tartan,79323
Plaid,79323
Fireman,79175
Ivory,78946
Asleep,78877
Sleeping,78877
Archangel,78593
Angel,78593
Turtle,78423
Analog Clock,78274
Amphitheatre,77963
Amphitheater,77963
Anseriformes,77954
Andalusian Horse,77745
Scaffolding,77656
Captain,77543
Stone Wall,77307
Duck,77224
Gardening,77095
Judge,76845
Bathtub,76685
Sweatshirt,76675
Wine Glass,76574
Bathroom,76538
Cricket,76357
Shark,75927
Seasoning,75567
Pianist,75397
Gargoyle,75212
Formula One,75017
Paparazzi,74903
Purse,74875
Tango,74568
Tribe,74443
Skiing,74193
Hammer,74034
Cinema,74019
Closet,73617
Art Gallery,73294
Wrist,73092
Orchid,72635
Solar Panels,72303
Coffee Table,71995
Fowl,71506
Control Tower,71451
Wiring,71398
Sled,71391
Freighter,71120
